,query,No,token,pos
478,전주여행,10,답변,NNG
479,전주여행,10,이,JKS
480,전주여행,10,도움,NNG
481,전주여행,10,되,XSV
482,전주여행,10,셨,EP+EP
483,전주여행,10,으면,EC
484,전주여행,10,좋,VA
485,전주여행,10,겠,EP
486,전주여행,10,습니다,EF
487,전주여행,10,한옥마을,NNP
488,전주여행,10,한옥마을,NNP
489,전주여행,10,맛집,NNG
490,전주여행,10,놀,VV
491,전주여행,10,거리,EC
492,전주여행,10,추천,NNG
493,전주여행,11,추석,NNG
494,전주여행,11,16,SN
495,전주여행,11,18,SN
496,전주여행,11,일,NNBC
497,전주여행,11,전,NNG
498,전주여행,11,주로,MAG
499,전주여행,11,가,VV
500,전주여행,11,려고,EC
501,전주여행,11,하,VV
502,전주여행,11,는데,EC
503,전주여행,11,그때,NNG
504,전주여행,11,한옥마을,NNP
505,전주여행,11,같,VA
506,전주여행,11,은,ETM
507,전주여행,11,관광지,NNG
508,전주여행,11,들,XSN
509,전주여행,11,은,JX
510,전주여행,11,문,NNG
511,전주여행,11,닫,VV
512,전주여행,11,을까요,EC
513,전주여행,11,추석,NNG
514,전주여행,11,당일,NNG
515,전주여행,11,은,JX
516,전주여행,11,문,NNG
517,전주여행,11,을,JKO
518,전주여행,11,닫,VV
519,전주여행,11,습니다,EF
520,전주여행,11,에,JKB
521,전주여행,11,도,JX
522,전주여행,11,이벤트,NNG
523,전주여행,11,가,JKS
524,전주여행,11,진행,NNG
525,전주여행,11,중,NNB
526,전주여행,11,입니다,VCP+EC
527,전주여행,11,8,SN
528,전주여행,11,27,SN
529,전주여행,11,화,NNG
530,전주여행,11,10,SN
531,전주여행,11,13,SN
532,전주여행,11,일,NNBC
533,전주여행,11,한국,NNP
534,전주여행,11,관광공사,NNP
535,전주여행,11,에서,JKB
536,전주여행,11,숙박,NNG
537,전주여행,11,세일,NNG
538,전주여행,11,페스타,NNP
539,전주여행,11,이벤트,NNG
540,전주여행,11,가,JKS
541,전주여행,11,진행,NNG
542,전주여행,11,중,NNB
543,전주여행,11,입니다,VCP+EC
544,전주여행,11,3,SN
545,전주여행,11,만,NR
546,전주여행,11,원,NNBC
547,전주여행,12,전,NNG
548,전주여행,12,연령,NNG
549,전주여행,12,렌트카,NNG
550,전주여행,12,추천,NNG
551,전주여행,12,이번,NNG
552,전주여행,12,에,JKB
553,전주여행,12,2,SN
554,전주여행,12,박,NNBC
555,전주여행,12,3,SN
556,전주여행,12,일,NNBC
557,전주여행,12,로,JKB
558,전주여행,12,가,VV
559,전주여행,12,는,ETM
560,전주여행,12,저,NP
561,전주여행,12,는,JX
562,전주여행,12,21,SN
563,전주여행,12,살,NNBC
564,전주여행,12,만,NNB
565,전주여행,12,으로,JKB
566,전주여행,12,만,MM
567,전주여행,12,19,SN
568,전주여행,12,세,NNBC
569,전주여행,12,입니다,VCP+EF
570,전주여행,12,전,NNG
571,전주여행,12,연령,NNG
572,전주여행,12,자동차,NNG
573,전주여행,12,추천,NNG
574,전주여행,12,좀,MAG
575,전주여행,12,부탁,NNG
576,전주여행,12,드리,VV
577,전주여행,12,겠,EP
578,전주여행,12,습니다,EF
579,전주여행,12,그리고,MAJ
580,전주여행,12,가격,NNG
581,전주여행,12,도,JX
582,전주여행,12,2,SN
583,전주여행,12,일,NNBC
584,전주여행,12,렌트,NNG
585,전주여행,12,하,XSV
586,전주여행,12,면,EC
587,전주여행,12,총,MM
588,전주여행,12,어느,MM
589,전주여행,12,정도,NNG
590,전주여행,12,나올까요,VV+EF
591,전주여행,12,전,MM
592,전주여행,12,주,NNG
593,전주여행,12,에서,JKB
594,전주여행,12,21,SN
595,전주여행,12,세,NNBC
596,전주여행,12,이상,NNG
597,전주여행,12,렌트,NNG
598,전주여행,12,가능,NNG
599,전주여행,12,한,XSA+ETM
600,전주여행,12,자동차,NNG
601,전주여행,12,를,JKO
602,전주여행,12,찾아보,VV
603,전주여행,12,세요,EP+EF
604,전주여행,12,가격,NNG
605,전주여행,12,은,JX
606,전주여행,13,-,SY
607,전주여행,13,포항,NNP
608,전주여행,13,에서,JKB
609,전주여행,13,포항,NNP
610,전주여행,13,까지,JX
611,전주여행,13,기차,NNG
612,전주여행,13,가,JKS
613,전주여행,13,나,VV
614,전주여행,13,을까요,EC
615,전주여행,13,버스,NNG
616,전주여행,13,가,JKS
617,전주여행,13,나,VV
618,전주여행,13,을까요,EC
619,전주여행,13,안녕,NNG
620,전주여행,13,하,XSV
621,전주여행,13,세요,EP+EF
622,전주여행,13,전,MM
623,전주여행,13,주,NNG
624,전주여행,13,에서,JKB
625,전주여행,13,포항,NNP
626,전주여행,13,까지,JX
627,전주여행,13,을,JKO
628,전주여행,13,할,VV+ETM
629,전주여행,13,때,NNG
630,전주여행,13,기차,NNG
631,전주여행,13,와,JC
632,전주여행,13,버스,NNG
633,전주여행,13,각각,MAG
634,전주여행,13,장단점,NNG
635,전주여행,13,이,JKS
636,전주여행,13,있,VV
637,전주여행,13,으므로,EC
638,전주여행,13,어떤,MM
639,전주여행,13,방법,NNG
640,전주여행,13,이,JKS
641,전주여행,13,더,MAG
642,전주여행,13,나,VV
643,전주여행,13,은지,EC
644,전주여행,13,결정,NNG
645,전주여행,13,하,XSV
646,전주여행,13,는,ETM
647,전주여행,13,데,NNB
648,전주여행,13,있,VV
649,전주여행,13,어,EC
650,전주여행,13,몇,MM
651,전주여행,13,가지,NNBC
652,전주여행,13,요소,NNG
653,전주여행,13,를,JKO
654,전주여행,13,고려,NNG
655,전주여행,13,할,XSV+ETM
656,전주여행,13,필요,NNG
657,전주여행,13,가,JKS
658,전주여행,13,있,VA
659,전주여행,13,습니다,EF
660,전주여행,13,1,SN
661,전주여행,14,펜션,NNG
662,전주여행,14,한옥,NNG
663,전주여행,14,으로,JKB
664,전주여행,14,된,VV+ETM
665,전주여행,14,곳,NNG
666,전주여행,14,이,VCP
667,전주여행,14,요,EF
668,전주여행,14,!,SF
669,전주여행,14,이번,NNG
670,전주여행,14,에,JKB
671,전주여행,14,남자,NNG
672,전주여행,14,친구,NNG
673,전주여행,14,랑,JKB
674,전주여행,14,같이,MAG
675,전주여행,14,2,SN
676,전주여행,14,박,NNBC
677,전주여행,14,3,SN
678,전주여행,14,일,NNBC
679,전주여행,14,가,VV
680,전주여행,14,기,ETN
681,전주여행,14,로,JKB
682,전주여행,14,해서,VV+EC
683,전주여행,14,얼른,MAG
684,전주여행,14,펜션,NNG
685,전주여행,14,알,VV
686,전주여행,14,아,EC
687,전주여행,14,봐야,VX+EC
688,전주여행,14,하,VV
689,전주여행,14,는데,EC
690,전주여행,14,한옥,NNG
691,전주여행,14,마을,NNG
692,전주여행,14,근처,NNG
693,전주여행,14,나,JC
694,전주여행,14,한옥,NNG
695,전주여행,14,느낌,MAG
696,전주여행,14,나,NP
697,전주여행,14,는,JX
698,전주여행,14,펜션,NNG
699,전주여행,14,쪽,NNB
700,전주여행,14,으로,JKB
701,전주여행,14,갈,VV+ETM
702,전주여행,14,만,NNB
703,전주여행,14,한,XSA+ETM
704,전주여행,14,데,NNB
705,전주여행,14,없,VA
706,전주여행,14,을까요,EC
707,전주여행,14,내부,NNG
708,전주여행,14,는,JX
709,전주여행,14,정감,NNG
710,전주여행,14,있,VV
711,전주여행,14,는,ETM
712,전주여행,14,분위기,NNG
713,전주여행,14,면,VCP+EC
714,전주여행,14,다,MAG
715,전주여행,14,좋,VA
716,전주여행,14,을,ETM
717,전주여행,14,것,NNB
718,전주여행,14,같,VA
719,전주여행,14,아요,EF
720,전주여행,14,빠른,VA+ETM
721,전주여행,14,답변,NNG
722,전주여행,14,꼭,MAG
723,전주여행,14,부탁,NNG
724,전주여행,14,드,VV
725,전주여행,14,랴,EC
726,전주여행,14,용,NNG
727,전주여행,15,주세요,NNP
