,query,token,pos
1576,전주여행,봉,NNG
1577,전주여행,티비,NNG
1578,전주여행,코스,NNG
1583,전주여행,곳,NNG
1584,전주여행,여수,NNG
1585,전주여행,여수,NNG
1591,전주여행,제주,NNP
1601,전주여행,연인,NNG
1608,전주여행,곳,NNG
1610,전주여행,추천,NNG
1615,전주여행,한옥마을,NNP
1616,전주여행,동물원,NNP
1617,전주여행,한국도로공사,NNP
1618,전주여행,수목원,NNG
1619,전주여행,향교,NNP
1620,전주여행,덕진,NNP
1621,전주여행,공원,NNG
1622,전주여행,관련,NNG
1623,전주여행,맛집,NNG
1624,전주여행,국내,NNG
1625,전주여행,전,NNG
1626,전주여행,주달,NNG
1627,전주여행,봉,NNG
1629,전주여행,달,NNG
1630,전주여행,봉,NNG
1631,전주여행,티비,NNG
1632,전주여행,코스,NNG
1637,전주여행,곳,NNG
1638,전주여행,여수,NNG
1639,전주여행,여수,NNG
1645,전주여행,제주,NNP
1647,전주여행,제주도,NNP
1652,전주여행,곳,NNG
1653,전주여행,전문,NNG
1655,전주여행,플,NNG
1657,전주여행,언서,NNG
1658,전주여행,전,NNG
1659,전주여행,주달,NNG
1660,전주여행,봉이,NNG
1662,전주여행,주말,NNG
1664,전주여행,평일,NNG
1687,전주여행,추천,NNG
1692,전주여행,맛집,NNG
1693,전주여행,국내,NNG
1694,전주여행,전,NNG
1695,전주여행,주달,NNG
1696,전주여행,봉,NNG
1698,전주여행,달,NNG
1699,전주여행,봉,NNG
1700,전주여행,티비,NNG
1701,전주여행,코스,NNG
1706,전주여행,곳,NNG
1707,전주여행,여수,NNG
1708,전주여행,여수,NNG
1714,전주여행,제주,NNP
1716,전주여행,제주도,NNP
1721,전주여행,곳,NNG
1722,전주여행,전문,NNG
1724,전주여행,플,NNG
1726,전주여행,언서,NNG
1727,전주여행,전,NNG
1728,전주여행,주달,NNG
1729,전주여행,봉이,NNG
1731,전주여행,이번,NNG
1732,전주여행,주,NNG
1745,전주여행,추천,NNG
1754,전주여행,위주,NNG
1763,전주여행,트레,NNP
1764,전주여행,킹,NNP
1769,전주여행,계획,NNG
1778,전주여행,볼거리,NNG
1788,전주여행,인,NNG
1789,전주여행,경비,NNG
1790,전주여행,식비,NNG
1792,전주여행,교통비,NNG
1793,전주여행,감,NNG
1798,전주여행,술,NNG
1805,전주여행,술값,NNG
1811,전주여행,때,NNG
1819,전주여행,맛집,NNG
1820,전주여행,국내,NNG
1821,전주여행,전,NNG
1822,전주여행,주달,NNG
1823,전주여행,봉,NNG
1825,전주여행,달,NNG
1826,전주여행,봉,NNG
1827,전주여행,티비,NNG
1828,전주여행,코스,NNG
1833,전주여행,곳,NNG
1834,전주여행,여수,NNG
1835,전주여행,여수,NNG
1840,전주여행,곳,NNG
1845,전주여행,비용,NNG
1846,전주여행,맛집,NNG
1847,전주여행,국내,NNG
1848,전주여행,전,NNG
1849,전주여행,주달,NNG
1850,전주여행,봉,NNG
1852,전주여행,달,NNG
1853,전주여행,봉,NNG
1854,전주여행,티비,NNG
1855,전주여행,코스,NNG
1860,전주여행,곳,NNG
